   134/299     11.5G    0.0185   0.01015  0.001521   0.03017        38       640    0.9403    0.8665     0.918    0.6006   0.02769    0.0153  0.007176
   135/299     11.5G   0.01806   0.01003  0.001297   0.02939        47       640     0.957    0.8594    0.9176    0.6134   0.02752   0.01531  0.007264
   136/299     11.5G   0.01799  0.009958  0.001586   0.02954        41       640    0.9411     0.855    0.9161    0.6079   0.02737   0.01506  0.007706
   137/299     11.5G   0.01836   0.01025  0.001632   0.03025        37       640    0.9435    0.8603    0.9212    0.6119   0.02736   0.01526  0.007403
   138/299     11.5G   0.01752   0.00989  0.001208   0.02862        50       640    0.9342    0.8673    0.9117    0.6082   0.02744   0.01577  0.006473
   139/299     11.5G   0.01808  0.009983  0.001521   0.02958        71       640    0.9283    0.8734    0.9196    0.6095   0.02742   0.01494  0.007054
   140/299     11.5G   0.01798   0.00996   0.00131   0.02925        47       640    0.9432    0.8572    0.9097    0.6041   0.02792    0.0155  0.006771
   141/299     11.5G    0.0174  0.009902  0.001256   0.02856        83       640    0.9348     0.877    0.9165     0.605   0.02794   0.01533  0.007503
   142/299     11.5G   0.01736      0.01  0.001579   0.02894        51       640    0.9245    0.8859    0.9185    0.6057   0.02748   0.01509  0.006748
   143/299     11.5G   0.01767  0.009767  0.001402   0.02884        60       640    0.9586    0.8562    0.9192    0.6062   0.02731   0.01497  0.006299
   144/299     11.5G   0.01776  0.009744  0.001383   0.02889        49       640    0.9596    0.8667    0.9124    0.6072   0.02713   0.01536  0.006364
   145/299     11.5G   0.01798   0.01014  0.001533   0.02965        42       640    0.9395    0.8665    0.9132    0.6059   0.02702   0.01494  0.006517
   146/299     11.5G    0.0175  0.009811  0.001398   0.02871        32       640    0.9473    0.8714    0.9193    0.6118   0.02711   0.01525  0.007143
   147/299     11.5G   0.01724  0.009457  0.001281   0.02798        48       640    0.9401    0.8703    0.9111    0.6082   0.02719    0.0156   0.00652
   148/299     11.5G   0.01754  0.009408  0.001308   0.02825        30       640    0.9386    0.8633    0.9116    0.6059   0.02746   0.01544  0.007619
   149/299     11.5G   0.01742  0.009775  0.001394   0.02859        47       640     0.945    0.8613    0.9203    0.6156   0.02718   0.01513  0.006734
   150/299     11.5G   0.01713  0.009702  0.001405   0.02823        49       640    0.9334    0.8764    0.9173    0.6054   0.02731   0.01513  0.006523
   151/299     11.5G    0.0171  0.009578  0.001537   0.02822        53       640    0.9423    0.8798     0.915    0.6071    0.0274   0.01539  0.006777
   152/299     11.5G   0.01696  0.009581  0.001364    0.0279        39       640    0.9422    0.8712    0.9136    0.6124   0.02731   0.01571  0.006931
   153/299     11.5G   0.01744  0.009834  0.001363   0.02864        48       640    0.9438    0.8663    0.9175    0.6117   0.02747   0.01579  0.007877
   154/299     11.5G   0.01735  0.009541  0.001262   0.02815        59       640    0.9323    0.8582    0.9057     0.606   0.02772   0.01548    0.0102
   155/299     11.5G   0.01698  0.009595  0.001263   0.02784        44       640    0.9288    0.8706    0.9091    0.6017   0.02757   0.01566  0.009153
   156/299     11.5G   0.01703  0.009568   0.00127   0.02787        47       640    0.9494    0.8758    0.9176    0.6182   0.02708   0.01534   0.00703
   157/299     11.5G    0.0173  0.009313  0.001458   0.02807        48       640    0.9631    0.8696    0.9148    0.6151   0.02733   0.01565  0.007199
   158/299     11.5G   0.01673  0.009728  0.001364   0.02782        51       640    0.9504    0.8782    0.9169    0.6141   0.02728   0.01538  0.006037
   159/299     11.5G   0.01668  0.009362  0.001274   0.02731        34       640    0.9714    0.8664    0.9199    0.6165   0.02701   0.01516  0.006087
   160/299     11.5G   0.01635    0.0094  0.001157   0.02691        50       640    0.9595    0.8623    0.9162    0.6136   0.02734   0.01532  0.007261
   161/299     11.5G   0.01635   0.00922  0.001316   0.02689        33       640    0.9449    0.8675    0.9117    0.6099   0.02745   0.01561  0.007605
   162/299     11.5G   0.01677  0.009403  0.001275   0.02744        55       640    0.9569    0.8594    0.9164    0.6175   0.02749   0.01483  0.007352
   163/299     11.5G    0.0169  0.009735  0.001273   0.02791        65       640    0.9454    0.8758    0.9176    0.6182   0.02737   0.01497  0.007623
   164/299     11.5G   0.01641  0.009645  0.001253   0.02731        62       640     0.931    0.8836    0.9181     0.613   0.02754   0.01533  0.006865
   165/299     11.5G   0.01682  0.009331  0.001012   0.02716        64       640    0.9728    0.8661    0.9155    0.6126   0.02755   0.01521  0.006009
   166/299     11.5G    0.0166   0.00917  0.001292   0.02706        41       640    0.9447    0.8746     0.913    0.6151   0.02729   0.01528  0.006468
   167/299     11.5G   0.01651  0.009137  0.001107   0.02675        54       640    0.9609    0.8645    0.9202    0.6163   0.02717   0.01537  0.006277
   168/299     11.5G   0.01613  0.009037  0.001043   0.02621        47       640    0.9426    0.8807     0.921    0.6177   0.02705    0.0154   0.00587
   169/299     11.5G   0.01626  0.009042  0.001123   0.02643        41       640    0.9299    0.8869    0.9207    0.6164   0.02723   0.01546  0.006176
   170/299     11.5G   0.01604  0.009272  0.001115   0.02643        44       640    0.9486    0.8758    0.9203    0.6188   0.02729   0.01535  0.006461
